=====================================================================================
2020-09-21 14:08:33:919 => [                                                    main.cpp, 00261] => set font: Arial
2020-09-21 14:08:34:064 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 14:08:34:158 => [                                          kvolumemanager.cpp, 00227] => Disk1, SAMSUNG HD161GJ SATA, CHS:19457,255,63, total sectors: 312581808, bytes per sector = 512
2020-09-21 14:08:34:611 => [                                          kvolumemanager.cpp, 00227] => Disk2, TO Exter nal USB 3.0 USB, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 14:08:34:849 => [                                          kvolumemanager.cpp, 00248] => Disk2 set alignmentFactor =AlignToMB
2020-09-21 14:08:35:240 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 14:08:35:256 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 14:08:35:256 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
=====================================================================================
2020-09-21 14:12:47:270 => [                                                    main.cpp, 00261] => set font: Arial
2020-09-21 14:12:47:407 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 14:12:47:501 => [                                          kvolumemanager.cpp, 00227] => Disk1, SAMSUNG HD161GJ SATA, CHS:19457,255,63, total sectors: 312581808, bytes per sector = 512
2020-09-21 14:12:47:954 => [                                          kvolumemanager.cpp, 00227] => Disk2, TO Exter nal USB 3.0 USB, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 14:12:48:219 => [                                          kvolumemanager.cpp, 00248] => Disk2 set alignmentFactor =AlignToMB
2020-09-21 14:12:48:485 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 14:12:48:501 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 14:12:48:501 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
=====================================================================================
2020-09-21 15:40:17:278 => [                                                    main.cpp, 00261] => set font: Arial
2020-09-21 15:40:17:418 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 15:40:17:510 => [                                          kvolumemanager.cpp, 00227] => Disk1, SAMSUNG HD161GJ SATA, CHS:19457,255,63, total sectors: 312581808, bytes per sector = 512
2020-09-21 15:40:18:471 => [                                          kvolumemanager.cpp, 00227] => Disk2, TO Exter nal USB 3.0 USB, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 15:40:18:713 => [                                          kvolumemanager.cpp, 00248] => Disk2 set alignmentFactor =AlignToMB
2020-09-21 15:40:19:134 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 15:40:19:144 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 15:40:19:145 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
=====================================================================================
2020-09-21 15:53:14:784 => [                                                    main.cpp, 00261] => set font: Arial
2020-09-21 15:53:14:938 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 15:53:15:043 => [                                          kvolumemanager.cpp, 00227] => Disk1, SAMSUNG HD161GJ SATA, CHS:19457,255,63, total sectors: 312581808, bytes per sector = 512
2020-09-21 15:53:16:004 => [                                          kvolumemanager.cpp, 00227] => Disk2, TO Exter nal USB 3.0 USB, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 15:53:16:248 => [                                          kvolumemanager.cpp, 00248] => Disk2 set alignmentFactor =AlignToMB
2020-09-21 15:53:16:567 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 15:53:16:579 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 15:53:16:579 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
=====================================================================================
2020-09-21 15:55:25:279 => [                                                    main.cpp, 00261] => set font: Arial
2020-09-21 15:55:25:421 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 15:55:25:506 => [                                          kvolumemanager.cpp, 00227] => Disk1, SAMSUNG HD161GJ SATA, CHS:19457,255,63, total sectors: 312581808, bytes per sector = 512
2020-09-21 15:55:25:960 => [                                          kvolumemanager.cpp, 00227] => Disk2, TO Exter nal USB 3.0 USB, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 15:55:26:203 => [                                          kvolumemanager.cpp, 00248] => Disk2 set alignmentFactor =AlignToMB
2020-09-21 15:55:26:524 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 15:55:26:536 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 15:55:26:536 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
=====================================================================================
2020-09-21 23:11:52:509 => [                                                    main.cpp, 00261] => set font: Arial
=====================================================================================
2020-09-21 23:13:53:725 => [                                                    main.cpp, 00261] => set font: Arial
2020-09-21 23:13:53:771 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 23:13:53:881 => [                                          kvolumemanager.cpp, 00227] => Disk1, SAMSUNG HD161GJ SATA, CHS:19457,255,63, total sectors: 312581808, bytes per sector = 512
2020-09-21 23:13:54:334 => [                                          kvolumemanager.cpp, 00227] => Disk2, Kingston DT 101 II USB, CHS:488,255,63, total sectors: 7847936, bytes per sector = 512
2020-09-21 23:13:55:068 => [                                          kvolumemanager.cpp, 00248] => Disk2 set alignmentFactor =AlignToMB
2020-09-21 23:13:55:131 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 23:13:55:146 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 23:13:55:146 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
=====================================================================================
2020-09-21 23:25:45:373 => [                                                    main.cpp, 00261] => set font: Arial
2020-09-21 23:25:45:888 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 23:25:46:013 => [                                          kvolumemanager.cpp, 00227] => Disk1, SAMSUNG HD161GJ SATA, CHS:19457,255,63, total sectors: 312581808, bytes per sector = 512
2020-09-21 23:25:46:466 => [                                          kvolumemanager.cpp, 00227] => Disk2, Kingston DT 101 II USB, CHS:488,255,63, total sectors: 7847936, bytes per sector = 512
2020-09-21 23:25:47:216 => [                                          kvolumemanager.cpp, 00248] => Disk2 set alignmentFactor =AlignToMB
2020-09-21 23:25:47:294 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 23:25:47:310 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 23:25:47:310 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
=====================================================================================
2020-09-21 23:26:03:606 => [                                                    main.cpp, 00261] => set font: Arial
2020-09-21 23:26:03:669 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 23:26:03:778 => [                                          kvolumemanager.cpp, 00227] => Disk1, SAMSUNG HD161GJ SATA, CHS:19457,255,63, total sectors: 312581808, bytes per sector = 512
2020-09-21 23:26:04:231 => [                                          kvolumemanager.cpp, 00227] => Disk2, Kingston DT 101 II USB, CHS:488,255,63, total sectors: 7847936, bytes per sector = 512
2020-09-21 23:26:04:966 => [                                          kvolumemanager.cpp, 00248] => Disk2 set alignmentFactor =AlignToMB
2020-09-21 23:26:05:044 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 23:26:05:059 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 23:26:05:059 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
